frame_idx,file_name,status,iou,gt_ann_id,gt_class_name,gt_x1,gt_y1,gt_x2,gt_y2,pred_class_id,pred_class_name,pred_conf,pred_x1,pred_y1,pred_x2,pred_y2
30,0407_frame_0030.jpg,TP,0.9564286202046001,177,ripe,2079.0,617.0,2248.31,776.17,0,ripe,0.552734375,2082.0,616.5,2252.0,776.5
30,0407_frame_0030.jpg,TP,0.9322687280039748,176,unripe,1942.0,695.0,2093.37,817.5,1,unripe,0.87890625,1941.0,692.5,2094.0,822.5
30,0407_frame_0030.jpg,TP,0.8411556738262093,178,ripe,2689.0,664.0,2804.12,768.7,0,ripe,0.73095703125,2690.0,662.0,2810.0,779.5
30,0407_frame_0030.jpg,FN,,179,unripe,2580.0,375.0,2693.9,521.02,,,,,,,
30,0407_frame_0030.jpg,FN,,180,ripe,2716.0,522.0,2821.88,574.03,,,,,,,
30,0407_frame_0030.jpg,FN,,181,ripe,2031.0,326.0,2118.63,412.71,,,,,,,
30,0407_frame_0030.jpg,FP,,,,,,,,0,ripe,0.70556640625,2084.0,615.5,2252.0,774.5
30,0407_frame_0030.jpg,FP,,,,,,,,1,unripe,0.4794921875,2808.0,671.5,2878.0,776.0
30,0407_frame_0030.jpg,FP,,,,,,,,0,ripe,0.3115234375,2682.0,527.5,2842.0,693.5
36,0407_frame_0036.jpg,TP,0.9440074901163279,119,unripe,2513.0,373.0,2663.91,549.71,1,unripe,0.4814453125,2516.0,373.0,2666.0,545.5
36,0407_frame_0036.jpg,TP,0.9356765342345322,116,unripe,1919.0,687.0,2067.53,825.4,1,unripe,0.86181640625,1917.0,689.0,2072.0,824.0
36,0407_frame_0036.jpg,TP,0.9292194999999659,117,ripe,2060.0,619.0,2224.56,772.59,0,ripe,0.93505859375,2056.0,617.0,2226.0,777.0
36,0407_frame_0036.jpg,TP,0.8675072405332953,118,ripe,2639.0,666.0,2788.37,779.9300000000001,0,ripe,0.85791015625,2636.0,659.0,2790.0,774.0
36,0407_frame_0036.jpg,FN,,120,ripe,2694.0,523.0,2805.4,578.7,,,,,,,
36,0407_frame_0036.jpg,FN,,121,ripe,2731.0,628.0,2826.36,688.76,,,,,,,
36,0407_frame_0036.jpg,FP,,,,,,,,1,unripe,0.7685546875,2792.0,666.5,2878.0,780.5
42,0407_frame_0042.jpg,TP,0.974723787932526,47,unripe,2455.0,370.0,2630.62,563.65,1,unripe,0.703125,2456.0,369.5,2630.0,561.0
42,0407_frame_0042.jpg,TP,0.8686288089997256,43,ripe,2036.0,619.0,2195.92,774.47,0,ripe,0.9130859375,2028.0,614.5,2202.0,779.0
42,0407_frame_0042.jpg,TP,0.8580343086014706,42,unripe,1899.0,675.0,2044.48,820.48,1,unripe,0.775390625,1890.0,681.0,2046.0,827.0
42,0407_frame_0042.jpg,TP,0.8570926227988743,44,ripe,2629.0,661.0,2767.82,779.83,0,ripe,0.87744140625,2620.0,655.0,2772.0,778.0
42,0407_frame_0042.jpg,TP,0.8525948093598485,46,unripe,2764.0,666.0,2879.5,797.04,1,unripe,0.83837890625,2772.0,661.0,2878.0,792.0
42,0407_frame_0042.jpg,FN,,45,ripe,2666.0,525.0,2790.38,581.64,,,,,,,
42,0407_frame_0042.jpg,FN,,48,ripe,2719.0,633.0,2800.62,683.03,,,,,,,
48,0407_frame_0048.jpg,TP,0.9318926974664332,20,ripe,2007.0,631.0,2176.0,779.0,0,ripe,0.9267578125,2004.0,626.5,2180.0,779.0
48,0407_frame_0048.jpg,TP,0.8801735757587806,22,unripe,2436.0,373.0,2603.47,567.03,1,unripe,0.65771484375,2420.0,369.25,2604.0,564.0
48,0407_frame_0048.jpg,TP,0.8528555942260025,18,ripe,2606.0,667.0,2756.0,768.0,0,ripe,0.8642578125,2604.0,657.0,2754.0,772.5
